Language,slots,intents,fully correct,sd slots,sd intents
ar,67.8,84.3,36.9,2.9,1.1
da,75.7,96.1,55.6,2.8,0.8
de,78.7,94.4,58.3,1.6,2.4
de-ba,40.8,77.8,14.9,4.1,2.9
de-by,37.4,62.5,9.0,2.9,2.2
de-st,40.5,75.0,12.3,3.4,1.8
en,94.8,99.3,90.1,0.6,0.2
gsw,18.1,58.9,3.9,2.0,5.2
id,77.7,97.2,57.1,2.5,1.1
it,79.4,93.9,54.3,1.5,2.4
ja,33.7,66.8,22.3,7.0,9.9
kk,48.8,86.9,23.0,3.0,4.7
lt,62.2,79.1,31.2,3.8,4.9
nap,48.3,73.3,16.9,7.2,2.6
nl,84.1,91.6,64.9,1.4,2.6
sr,70.5,90.3,45.8,3.6,2.7
tr,55.5,96.1,35.4,3.4,0.4
zh,72.0,93.4,50.4,2.6,0.7
Avg.,60.3,84.3,37.9,,
Diff.,-4.3,-2.5,-5.0,,
